Number	Accession	A's	G'c	C's	T's	N's	Length	GC%
44045	GQ162200	600	378	314	409	0	1701	fpCG
44046	GQ303349	769	588	432	491	0	2280	fpCG
44047	GQ339884	496	395	294	312	0	1497	fpCG
44048	GQ397117	449	329	264	367	0	1410	fpCG
44049	GQ397118	705	529	422	495	0	2151	fpCG
44050	GQ397119	811	517	439	507	0	2274	fpCG
44051	GQ463210	284	255	208	235	0	982	fpCG
44052	GQ463210	284	255	208	235	0	982	fpCG
44053	GQ162203	283	256	208	235	0	982	fpCG
44054	GQ162203	283	256	208	235	0	982	fpCG
44055	GQ162204	599	379	315	408	0	1701	fpCG
44056	GQ397120	450	330	263	367	0	1410	fpCG
44057	GQ397121	769	588	432	491	0	2280	fpCG
44058	GQ397122	492	398	294	313	0	1497	fpCG
44059	GQ463211	812	516	438	508	0	2274	fpCG
44060	CY040885	769	588	432	491	0	2280	fpCG
44061	CY040886	813	515	439	507	0	2274	fpCG
44062	CY040887	704	529	423	495	0	2151	fpCG
44063	CY040888	600	379	315	407	0	1701	fpCG
44064	CY040889	493	398	293	313	0	1497	fpCG
44065	CY040890	448	331	265	366	0	1410	fpCG
44066	CY040891	284	255	208	235	0	982	fpCG
44067	CY040891	284	255	208	235	0	982	fpCG
44068	CY040892	267	201	168	208	0	844	fpCG
44069	CY040892	267	201	168	208	0	844	fpCG
44070	CY044160	769	588	432	491	0	2280	fpCG
44071	CY044161	813	515	439	507	0	2274	fpCG
44072	CY044162	704	529	424	494	0	2151	fpCG
44073	CY044163	600	379	315	407	0	1701	fpCG
44074	CY044164	493	398	293	313	0	1497	fpCG
44075	CY044165	449	331	263	367	0	1410	fpCG
44076	CY044166	284	255	208	235	0	982	fpCG
44077	CY044166	284	255	208	235	0	982	fpCG
44078	CY044167	267	201	168	208	0	844	fpCG
44079	CY044167	267	201	168	208	0	844	fpCG
44080	GQ303354	273	202	173	215	0	863	fpCG
44081	GQ303354	273	202	173	215	0	863	fpCG
44082	GQ303355	769	587	433	491	0	2280	fpCG
44083	GQ303356	494	397	293	313	0	1497	fpCG
44084	GQ402169	780	591	434	502	0	2308	fpCG
44085	GQ402189	622	386	320	415	0	1743	fpCG
44086	GQ402209	289	256	208	239	0	992	fpCG
44087	GQ402209	289	256	208	239	0	992	fpCG
44088	GQ402229	453	331	264	374	0	1422	fpCG
44089	GQ402249	504	406	301	318	0	1529	fpCG
44090	GQ402269	275	201	170	209	0	855	fpCG
44091	GQ402269	275	201	170	209	0	855	fpCG
44092	GQ402289	723	533	433	511	0	2200	fpCG
44093	GQ402309	825	519	447	518	0	2309	fpCG
44094	GQ402170	783	588	433	504	0	2308	fpCG
44095	GQ402190	622	386	321	414	0	1743	fpCG
44096	GQ402210	289	256	208	239	0	992	fpCG
44097	GQ402210	289	256	208	239	0	992	fpCG
44098	GQ402230	453	331	264	374	0	1422	fpCG
44099	GQ402250	504	406	301	318	0	1529	fpCG
44100	GQ402270	275	201	170	209	0	855	fpCG
44101	GQ402270	275	201	170	209	0	855	fpCG
44102	GQ402290	719	537	432	512	0	2200	fpCG
44103	GQ402310	823	521	445	519	0	2309	fpCG
44104	GQ402171	781	590	434	503	0	2308	fpCG
44105	GQ402191	623	386	321	414	0	1744	fpCG
44106	GQ402211	289	256	208	239	0	992	fpCG
44107	GQ402211	289	256	208	239	0	992	fpCG
44108	GQ402231	453	331	263	375	0	1422	fpCG
44109	GQ402251	504	405	302	318	0	1529	fpCG
44110	GQ402271	276	200	170	209	0	855	fpCG
44111	GQ402271	276	200	170	209	0	855	fpCG
44112	GQ402291	720	536	433	511	0	2200	fpCG
44113	GQ402311	824	520	447	518	0	2309	fpCG
44114	GQ402172	779	592	434	503	0	2308	fpCG
44115	GQ402192	622	386	320	415	0	1743	fpCG
44116	GQ402212	289	256	208	239	0	992	fpCG
44117	GQ402212	289	256	208	239	0	992	fpCG
44118	GQ402232	453	331	264	374	0	1422	fpCG
44119	GQ402252	506	404	301	318	0	1529	fpCG
44120	GQ402272	276	200	170	209	0	855	fpCG
44121	GQ402272	276	200	170	209	0	855	fpCG
44122	GQ402292	720	536	433	511	0	2200	fpCG
44123	GQ402312	826	519	444	520	0	2309	fpCG
44124	GQ402173	780	591	433	504	0	2308	fpCG
44125	GQ402193	622	386	320	415	0	1743	fpCG
44126	GQ402213	289	256	208	239	0	992	fpCG
44127	GQ402213	289	256	208	239	0	992	fpCG
44128	GQ402233	453	331	264	374	0	1422	fpCG
44129	GQ402253	506	403	301	319	0	1529	fpCG
44130	GQ402273	275	201	170	209	0	855	fpCG
44131	GQ402273	275	201	170	209	0	855	fpCG
44132	GQ402293	720	536	433	511	0	2200	fpCG
44133	GQ402313	823	521	446	519	0	2309	fpCG
44134	CY053632	258	146	142	164	0	711	fpCG
44135	CY053633	253	146	141	163	0	703	fpCG
44136	CY053634	252	147	140	164	0	703	fpCG
44137	GQ132138	775	590	432	498	0	2295	fpCG
44138	GQ132145	620	387	321	415	0	1743	fpCG
44139	GQ132150	290	255	208	239	0	992	fpCG
44140	GQ132150	290	255	208	239	0	992	fpCG
44141	GQ132155	452	332	264	374	0	1422	fpCG
44142	GQ132161	504	404	301	318	0	1527	fpCG
44143	GQ132167	275	201	170	209	0	855	fpCG
44144	GQ132167	275	201	170	209	0	855	fpCG
44145	GQ132176	720	536	433	511	0	2200	fpCG
44146	GQ132179	822	521	445	520	0	2308	fpCG
44147	GQ379822	597	380	315	409	0	1701	fpCG
44148	GQ379823	285	254	208	235	0	982	fpCG
44149	GQ379823	285	254	208	235	0	982	fpCG
44150	GQ402168	779	592	434	503	0	2308	fpCG
44151	GQ402188	622	386	321	414	0	1743	fpCG
44152	GQ402208	289	256	208	239	0	992	fpCG
44153	GQ402208	289	256	208	239	0	992	fpCG
44154	GQ402228	453	331	264	374	0	1422	fpCG
44155	GQ402248	504	406	301	318	0	1529	fpCG
44156	GQ402268	275	201	170	209	0	855	fpCG
44157	GQ402268	275	201	170	209	0	855	fpCG
44158	GQ402288	721	536	432	511	0	2200	fpCG
44159	GQ402308	824	520	445	520	0	2309	fpCG
44160	CY053635	248	142	134	154	0	678	fpCG
44161	CY053636	231	129	127	140	0	628	fpCG
44162	CY053637	168	92	87	97	1	445	fpCG
44163	CY053638	230	129	126	140	0	626	fpCG
44164	CY053639	231	129	126	140	0	626	fpCG
44165	FJ998206	779	592	434	503	0	2308	fpCG
44166	FJ998208	622	386	321	414	0	1743	fpCG
44167	FJ998211	289	256	208	239	0	992	fpCG
44168	FJ998211	289	256	208	239	0	992	fpCG
44169	FJ998214	453	330	263	369	0	1415	fpCG
44170	FJ998217	504	404	301	318	0	1527	fpCG
44171	FJ998220	281	202	176	215	0	874	fpCG
44172	FJ998220	281	202	176	215	0	874	fpCG
44173	FJ998223	721	536	432	511	0	2200	fpCG
44174	FJ998226	824	520	445	520	0	2309	fpCG
44175	GQ303340	598	380	315	408	0	1701	fpCG
44176	GQ303341	284	255	208	235	0	982	fpCG
44177	GQ303341	284	255	208	235	0	982	fpCG
44178	GQ303342	493	396	294	312	0	1497	fpCG
44179	CY053640	219	118	119	128	0	586	fpCG
44180	CY053641	183	108	100	117	0	510	fpCG
44181	CY057073	266	158	150	170	0	744	fpCG
44182	CY057074	466	337	267	387	0	1457	fpCG
44183	EU502257	341	206	216	224	0	987	fpCG
44184	EU502258	339	208	216	224	0	987	fpCG
44185	EU502259	344	200	217	226	0	987	fpCG
44186	EU502260	338	208	218	223	0	987	fpCG
44187	EU502261	338	207	218	224	0	987	fpCG
44188	EU502262	338	210	216	223	0	987	fpCG
44189	EU502263	340	208	215	224	0	987	fpCG
44190	EU502264	338	209	216	224	0	987	fpCG
44191	EU502265	340	204	218	225	0	987	fpCG
44192	GU811757	227	184	139	166	0	716	fpCG
44193	GU811757	227	184	139	166	0	716	fpCG
44194	GU811758	154	126	88	99	0	467	fpCG
44195	GU811752	270	209	161	214	0	854	fpCG
44196	GU811752	270	209	161	214	0	854	fpCG
44197	GU811753	260	222	175	207	0	864	fpCG
44198	GU811753	260	222	175	207	0	864	fpCG
44199	GU811754	314	260	195	209	0	978	fpCG
44200	GU811749	275	215	166	221	0	877	fpCG
44201	GU811749	275	215	166	221	0	877	fpCG
44202	GU811750	260	224	176	207	0	867	fpCG
44203	GU811750	260	224	176	207	0	867	fpCG
44204	GU811751	263	223	153	171	0	810	fpCG
44205	GU811755	261	194	160	200	0	815	fpCG
44206	GU811755	261	194	160	200	0	815	fpCG
44207	GU811756	260	233	192	204	0	889	fpCG
44208	GU811756	260	233	192	204	0	889	fpCG
44209	FJ179350	575	376	339	411	0	1701	fpCG
44210	FJ179351	437	335	271	366	0	1410	fpCG
44211	GQ369851	278	259	206	239	0	982	fpCG
44212	GQ369851	278	259	206	239	0	982	fpCG
44213	GQ476134	584	381	313	419	0	1698	fpCG
44214	GQ476135	291	250	205	238	0	984	fpCG
44215	GQ476135	291	250	205	238	0	984	fpCG
44216	GQ117107	495	396	294	312	0	1497	fpCG
44217	GQ117108	451	329	263	367	0	1410	fpCG
44218	GQ117109	706	529	422	494	0	2151	fpCG
44219	GQ117110	264	200	168	206	0	838	fpCG
44220	GQ117110	264	200	168	206	0	838	fpCG
44221	GQ117111	285	254	208	235	0	982	fpCG
44222	GQ117111	285	254	208	235	0	982	fpCG
44223	GQ117112	599	379	314	409	0	1701	fpCG
44224	GQ168880	812	516	438	508	0	2274	fpCG
44225	GQ200262	767	589	432	492	0	2280	fpCG
44226	GQ338349	600	378	316	407	0	1701	fpCG
44227	GQ338350	284	255	208	235	0	982	fpCG
44228	GQ338350	284	255	208	235	0	982	fpCG
44229	FJ686996	459	332	253	369	0	1413	fpCG
44230	FJ686997	582	384	313	418	0	1698	fpCG
44231	GQ475803	291	250	205	238	0	984	fpCG
44232	GQ475803	291	250	205	238	0	984	fpCG
44233	GQ323519	451	329	262	368	0	1410	fpCG
44234	GQ323520	601	378	314	408	0	1701	fpCG
44235	GQ894818	284	255	208	235	0	982	fpCG
44236	GQ894818	284	255	208	235	0	982	fpCG
44237	FJ687019	581	384	313	420	0	1698	fpCG
44238	FJ687020	461	329	252	371	0	1413	fpCG
44239	GQ475845	292	249	205	238	0	984	fpCG
44240	GQ475845	292	249	205	238	0	984	fpCG
44241	GQ323499	272	203	174	214	0	863	fpCG
44242	GQ323499	272	203	174	214	0	863	fpCG
44243	GQ323500	812	516	439	507	0	2274	fpCG
44244	GQ323501	706	528	422	495	0	2151	fpCG
44245	GQ323502	770	587	432	491	0	2280	fpCG
44246	GQ323503	496	395	294	312	0	1497	fpCG
44247	GQ894935	601	378	313	409	0	1701	fpCG
44248	GQ894936	450	330	263	367	0	1410	fpCG
44249	GQ894937	286	253	208	235	0	982	fpCG
44250	GQ894937	286	253	208	235	0	982	fpCG
44251	EU516032	576	375	343	407	0	1701	fpCG
44252	EU516039	439	333	272	364	0	1410	fpCG
44253	EU716441	277	262	205	240	0	984	fpCG
44254	EU716441	277	262	205	240	0	984	fpCG
44255	GQ476023	579	387	313	417	0	1698	fpCG
44256	GQ476024	461	330	257	365	0	1413	fpCG
44257	GQ476025	292	249	206	237	0	984	fpCG
44258	GQ476025	292	249	206	237	0	984	fpCG
44259	EU516045	575	376	340	409	0	1701	fpCG
44260	FJ986622	579	377	315	416	0	1687	fpCG
44261	AF008872	319	225	211	232	0	987	fpCG
44262	CY016323	591	397	327	426	0	1743	fpCG
44263	EU100516	455	333	253	372	0	1413	fpCG
44264	EF473488	369	241	228	252	0	1090	fpCG
44265	EU516053	577	375	341	408	0	1701	fpCG
44266	EU516175	434	334	270	371	0	1410	fpCG
44267	EU716491	278	261	205	240	0	984	fpCG
44268	EU716491	278	261	205	240	0	984	fpCG
44269	GQ475652	583	383	312	420	0	1698	fpCG
44270	GQ475653	460	329	251	372	0	1413	fpCG
44271	GQ475654	292	249	205	238	0	984	fpCG
44272	GQ475654	292	249	205	238	0	984	fpCG
44273	GQ396735	450	330	262	368	0	1410	fpCG
44274	EF473543	361	237	228	248	0	1074	fpCG
44275	EU100552	438	334	278	365	0	1415	fpCG
44276	CY016324	594	389	331	428	0	1743	fpCG
44277	EU100545	437	339	278	364	0	1418	fpCG
44278	EF473332	354	219	223	237	0	1033	fpCG
44279	AF501531	333	212	218	224	0	987	fpCG
44280	AF501518	328	216	219	224	0	987	fpCG
44281	CY016326	591	391	335	425	0	1743	fpCG
44282	EU100546	438	337	278	365	0	1418	fpCG
44283	CY016327	596	393	328	425	0	1743	fpCG
44284	EU100517	457	329	252	375	0	1413	fpCG
44285	CY016328	592	395	328	427	0	1743	fpCG
44286	EU100518	456	332	253	372	0	1413	fpCG
44287	CY016329	592	395	327	426	0	1743	fpCG
44288	EU100519	455	333	253	372	0	1413	fpCG
44289	EF473544	351	228	222	238	0	1039	fpCG
44290	EU502239	340	207	216	224	0	987	fpCG
44291	EU502240	343	202	217	225	0	987	fpCG
44292	EU502241	338	208	216	225	0	987	fpCG
44293	CY025221	594	403	324	423	0	1744	fpCG
44294	CY025222	293	251	204	238	0	986	fpCG
44295	CY025222	293	251	204	238	0	986	fpCG
44296	CY025223	453	337	250	381	0	1421	fpCG
44297	CY025224	492	401	307	323	0	1523	fpCG
44298	CY025225	272	206	161	212	0	851	fpCG
44299	CY025225	272	206	161	212	0	851	fpCG
44300	CY025226	748	516	395	541	0	2200	fpCG
44301	CY025227	804	510	437	553	0	2304	fpCG
44302	CY025227	804	510	437	553	0	2304	fpCG
44303	CY025228	797	554	408	535	0	2294	fpCG
44304	AY389356	313	194	204	212	0	923	fpCG
44305	AY389357	313	192	204	214	0	923	fpCG
44306	AB117184	328	214	211	223	0	978	fpCG
44307	GU014752	598	381	314	408	0	1701	fpCG
44308	GU014753	449	331	264	366	0	1410	fpCG
44309	GU136008	271	202	169	208	0	850	fpCG
44310	GU136008	271	202	169	208	0	850	fpCG
44311	GU136039	811	515	440	508	0	2274	fpCG
44312	GU136072	770	587	432	491	0	2280	fpCG
44313	GU138883	287	253	207	235	0	982	fpCG
44314	GU138883	287	253	207	235	0	982	fpCG
44315	GU138916	497	394	294	312	0	1497	fpCG
44316	GU138949	705	529	423	494	0	2151	fpCG
44317	GU014754	600	379	314	408	0	1701	fpCG
44318	GU014755	451	329	263	367	0	1410	fpCG
44319	GU136009	271	202	169	208	0	850	fpCG
44320	GU136009	271	202	169	208	0	850	fpCG
44321	GU136040	815	513	438	508	0	2274	fpCG
44322	GU136073	769	588	431	492	0	2280	fpCG
44323	GU138884	286	253	208	235	0	982	fpCG
44324	GU138884	286	253	208	235	0	982	fpCG
44325	GU138917	496	395	294	312	0	1497	fpCG
44326	GU138950	706	528	421	496	0	2151	fpCG
44327	EU400224	234	148	151	170	0	703	fpCG
44328	EU400226	235	146	151	171	0	703	fpCG
44329	EU400232	267	160	171	191	0	789	fpCG
44330	GQ246467	311	206	195	209	0	921	fpCG
44331	EU400225	234	148	150	171	0	703	fpCG
44332	EU400227	233	147	152	171	0	703	fpCG
44333	EU400233	269	160	172	191	0	792	fpCG
44334	EU400254	290	199	190	198	0	877	fpCG
44335	GQ246468	313	204	194	210	0	921	fpCG
44336	EU400228	232	148	152	171	0	703	fpCG
44337	EU400234	306	211	196	210	0	923	fpCG
44338	EU400253	268	160	173	190	0	791	fpCG
44339	GQ246469	313	204	194	210	0	921	fpCG
44340	EU400229	200	138	129	141	0	608	fpCG
44341	EU400235	201	137	132	138	0	608	fpCG
44342	EU400252	261	155	171	186	0	773	fpCG
44343	EU400230	201	137	132	138	0	608	fpCG
44344	EU400251	310	200	190	206	0	906	fpCG
44345	EU400237	273	189	178	188	0	828	fpCG
44346	EU400250	264	159	172	187	0	782	fpCG
44347	GQ246470	306	201	193	209	0	909	fpCG
44348	EU400249	264	158	174	187	0	783	fpCG
44349	EU400261	266	162	172	189	0	789	fpCG
44350	EU400248	263	160	172	190	0	785	fpCG
44351	EU400259	301	208	195	213	0	917	fpCG
44352	EU400246	313	203	191	208	0	915	fpCG
44353	EU400258	297	206	189	207	0	899	fpCG
44354	EU400245	270	158	175	192	0	795	fpCG
44355	EU400244	264	160	172	189	0	785	fpCG
44356	EU400256	257	154	167	181	0	759	fpCG
44357	EU400243	262	158	175	183	0	778	fpCG
44358	EU400255	232	147	153	170	0	702	fpCG
44359	EU400242	254	149	163	181	0	747	fpCG
44360	EU400241	258	153	170	186	0	767	fpCG
44361	EU400240	307	200	188	207	0	902	fpCG
44362	EU400239	311	202	190	210	0	913	fpCG
44363	EU400238	268	162	176	192	0	798	fpCG
44364	EU400263	307	203	190	207	0	907	fpCG
44365	EU400264	261	155	172	187	0	775	fpCG
44366	EU400265	261	155	173	186	0	775	fpCG
44367	EU400266	259	158	172	187	0	776	fpCG
44368	GU451262	326	199	188	210	0	923	fpCG
44369	EU400267	261	155	173	187	0	776	fpCG
44370	GU451263	331	200	189	211	0	931	fpCG
44371	GU451264	338	199	193	212	0	942	fpCG
44372	GU451268	327	194	183	204	0	908	fpCG
44373	GQ246463	308	204	192	210	0	914	fpCG
44374	GQ246464	317	203	197	211	0	928	fpCG
44375	GU451265	330	200	187	213	0	930	fpCG
44376	GQ246465	314	202	193	209	0	918	fpCG
44377	GQ246466	313	204	194	210	0	921	fpCG
44378	GU451266	329	198	189	214	0	930	fpCG
44379	GU451267	330	199	186	214	0	929	fpCG
44380	GU451269	326	195	180	207	0	908	fpCG
44381	GU451270	313	189	179	202	0	883	fpCG
44382	GU451271	328	193	185	207	0	913	fpCG
44383	GU451272	330	196	188	209	0	923	fpCG
44384	GU451273	326	193	184	207	0	910	fpCG
44385	GU451274	314	189	179	203	0	885	fpCG
44386	GU451275	333	199	188	211	0	931	fpCG
44387	GU451276	338	197	189	211	0	935	fpCG
44388	GU451277	335	196	188	208	0	927	fpCG
44389	GU451278	336	201	190	212	0	939	fpCG
44390	GU451279	331	196	188	209	0	924	fpCG
44391	GU451280	326	195	183	205	0	909	fpCG
44392	GQ422377	334	202	192	219	0	947	fpCG
44393	GQ422378	332	200	190	215	0	937	fpCG
44394	GQ422379	332	200	190	214	0	936	fpCG
44395	GQ422380	337	202	193	218	0	950	fpCG
44396	GQ422381	335	201	190	217	0	943	fpCG
44397	GQ232099	601	377	315	408	0	1701	fpCG
44398	CY060133	243	230	182	204	0	859	fpCG
44399	CY060133	243	230	182	204	0	859	fpCG
44400	CY059544	243	228	182	206	0	859	fpCG
44401	CY059544	243	228	182	206	0	859	fpCG
44402	CY059471	243	229	183	204	0	859	fpCG
44403	CY059471	243	229	183	204	0	859	fpCG
44404	CY059545	243	228	182	206	0	859	fpCG
44405	CY059545	243	228	182	206	0	859	fpCG
44406	CY060028	245	228	183	202	1	859	fpCG
44407	CY060028	245	228	183	202	1	859	fpCG
44408	CY059546	243	228	182	206	0	859	fpCG
44409	CY059546	243	228	182	206	0	859	fpCG
44410	CY059472	242	229	183	205	0	859	fpCG
44411	CY059472	242	229	183	205	0	859	fpCG
44412	CY059547	243	229	181	206	0	859	fpCG
44413	CY059547	243	229	181	206	0	859	fpCG
44414	CY059548	241	230	183	205	0	859	fpCG
44415	CY059548	241	230	183	205	0	859	fpCG
44416	CY058923	254	220	179	206	0	859	fpCG
44417	CY058923	254	220	179	206	0	859	fpCG
44418	CY060446	600	379	314	408	0	1701	fpCG
44419	AY972829	285	178	190	198	0	851	fpCG
44420	AY972827	280	176	184	192	0	832	fpCG
44421	AY972828	291	180	193	198	0	862	fpCG
44422	AY972831	286	175	190	200	0	851	fpCG
44423	CY052044	342	223	171	236	0	972	fpCG
44424	GQ160608	181	166	136	139	0	622	fpCG
44425	GQ160608	181	166	136	139	0	622	fpCG
44426	CY058953	252	223	179	205	0	859	fpCG
44427	CY058953	252	223	179	205	0	859	fpCG
44428	CY060039	244	230	184	201	0	859	fpCG
44429	CY060039	244	230	184	201	0	859	fpCG
44430	CY060050	245	229	183	202	0	859	fpCG
44431	CY060050	245	229	183	202	0	859	fpCG
44432	CY059598	241	230	181	207	0	859	fpCG
44433	CY059598	241	230	181	207	0	859	fpCG
44434	CY058924	253	220	180	206	0	859	fpCG
44435	CY058924	253	220	180	206	0	859	fpCG
44436	CY058925	253	221	180	205	0	859	fpCG
44437	CY058925	253	221	180	205	0	859	fpCG
44438	CY058926	253	222	179	205	0	859	fpCG
44439	CY058926	253	222	179	205	0	859	fpCG
44440	EU851985	582	384	314	418	0	1698	fpCG
44441	EU851986	460	330	254	369	0	1413	fpCG
44442	GQ475737	289	250	205	238	0	982	fpCG
44443	GQ475737	289	250	205	238	0	982	fpCG
44444	GQ475996	583	384	311	420	0	1698	fpCG
44445	GQ475997	461	330	254	368	0	1413	fpCG
44446	GQ475998	290	251	205	238	0	984	fpCG
44447	GQ475998	290	251	205	238	0	984	fpCG
44448	GQ476098	581	384	311	420	0	1698	fpCG
44449	GQ476099	460	330	255	368	0	1413	fpCG
44450	GQ476100	290	251	205	238	0	984	fpCG
44451	GQ476100	290	251	205	238	0	984	fpCG
44452	EU199332	572	389	319	418	0	1698	fpCG
44453	EU779506	572	374	342	413	0	1701	fpCG
44454	EU779507	438	332	271	368	0	1410	fpCG
44455	GQ369930	273	263	206	240	0	982	fpCG
44456	GQ369930	273	263	206	240	0	982	fpCG
44457	GQ117068	492	399	293	313	0	1497	fpCG
44458	GQ117069	812	515	438	508	0	2274	fpCG
44459	GQ117070	769	588	432	491	0	2280	fpCG
44460	GQ117071	450	330	264	366	0	1410	fpCG
44461	GQ117072	264	200	167	207	0	838	fpCG
44462	GQ117072	264	200	167	207	0	838	fpCG
44463	GQ117073	284	255	208	235	0	982	fpCG
44464	GQ117073	284	255	208	235	0	982	fpCG
44465	GQ338364	601	377	315	408	0	1701	fpCG
44466	GQ457488	705	529	423	494	0	2151	fpCG
44467	GQ200213	769	588	432	491	0	2280	fpCG
44468	GQ200214	812	516	438	508	0	2274	fpCG
44469	GQ200215	492	399	293	313	0	1497	fpCG
44470	GQ200216	284	255	208	235	0	982	fpCG
44471	GQ200216	284	255	208	235	0	982	fpCG
44472	GQ200217	601	377	315	408	0	1701	fpCG
44473	GQ200218	450	330	264	366	0	1410	fpCG
44474	GQ200219	273	202	173	215	0	863	fpCG
44475	GQ200219	273	202	173	215	0	863	fpCG
44476	EU199291	386	271	244	277	0	1178	fpCG
44477	EU779508	576	374	337	414	0	1701	fpCG
44478	EU779509	439	334	272	365	0	1410	fpCG
44479	GQ369852	274	262	206	240	0	982	fpCG
44480	GQ369852	274	262	206	240	0	982	fpCG
44481	GQ476145	584	381	312	421	0	1698	fpCG
44482	GQ476146	461	330	255	367	0	1413	fpCG
44483	GQ476147	292	250	204	238	0	984	fpCG
44484	GQ476147	292	250	204	238	0	984	fpCG
44485	EU885499	574	376	339	410	0	1701	fpCG
44486	EU885500	436	336	271	365	0	1410	fpCG
44487	GQ369853	277	260	206	239	0	982	fpCG
44488	GQ369853	277	260	206	239	0	982	fpCG
44489	EU885534	576	376	339	410	0	1701	fpCG
44490	EU885535	437	335	273	364	0	1410	fpCG
44491	GQ369854	277	260	206	239	0	982	fpCG
44492	GQ369854	277	260	206	239	0	982	fpCG
44493	EU885536	575	375	339	410	0	1701	fpCG
44494	EU885537	438	335	271	366	0	1410	fpCG
44495	GQ369855	276	261	206	239	0	982	fpCG
44496	GQ369855	276	261	206	239	0	982	fpCG
44497	EU199369	575	376	339	409	0	1701	fpCG
44498	EU199282	574	377	341	409	0	1701	fpCG
44499	EF473486	361	230	224	250	0	1065	fpCG
44500	EU100500	453	337	279	379	0	1448	fpCG
44501	AF180625	324	220	216	227	0	987	fpCG
44502	AF180640	328	215	216	228	0	987	fpCG
44503	FJ179354	579	373	339	410	0	1701	fpCG
44504	GQ369856	277	260	206	239	0	982	fpCG
44505	GQ369856	277	260	206	239	0	982	fpCG
44506	EU199380	576	376	339	410	0	1701	fpCG
44507	EU199424	439	335	270	365	0	1410	fpCG
44508	FJ179352	576	376	339	410	0	1701	fpCG
44509	FJ179353	437	335	270	367	0	1410	fpCG
44510	GQ369857	274	263	204	241	0	982	fpCG
44511	GQ369857	274	263	204	241	0	982	fpCG
44512	EU100707	571	391	319	417	0	1698	fpCG
44513	EU199378	575	376	341	409	0	1701	fpCG
44514	EU199426	437	335	273	364	0	1410	fpCG
44515	CY016346	344	224	224	237	0	1029	fpCG
44516	EU100521	456	331	255	371	0	1413	fpCG
44517	EU199358	578	375	340	408	0	1701	fpCG
44518	CY016390	344	225	221	239	0	1029	fpCG
44519	EU516141	453	332	250	378	0	1413	fpCG
44520	EU516144	570	394	318	416	0	1698	fpCG
44521	FJ686990	462	326	255	369	0	1413	fpCG
44522	FJ686991	583	380	317	416	0	1698	fpCG
44523	EU516094	586	374	320	414	0	1698	fpCG
44524	EU516149	463	327	252	371	0	1413	fpCG
44525	EU716611	291	252	202	239	0	984	fpCG
44526	EU716611	291	252	202	239	0	984	fpCG
44527	FJ687006	583	383	311	420	0	1698	fpCG
44528	FJ687007	462	328	254	369	0	1413	fpCG
44529	GQ475822	292	248	205	239	0	984	fpCG
44530	GQ475822	292	248	205	239	0	984	fpCG
44531	GQ475777	581	385	313	418	0	1698	fpCG
44532	GQ475778	461	330	255	366	0	1413	fpCG
44533	GQ475779	291	250	205	238	0	984	fpCG
44534	GQ475779	291	250	205	238	0	984	fpCG
44535	GQ475673	580	385	313	419	0	1698	fpCG
44536	GQ475674	460	331	255	367	0	1413	fpCG
44537	GQ475675	291	250	205	238	0	984	fpCG
44538	GQ475675	291	250	205	238	0	984	fpCG
44539	GQ369858	278	260	206	238	0	982	fpCG
44540	GQ369858	278	260	206	238	0	982	fpCG
44541	GQ369859	434	336	270	369	0	1410	fpCG
44542	GQ369860	578	374	342	407	0	1701	fpCG
44543	GQ385821	438	336	271	365	0	1410	fpCG
44544	GQ385822	578	372	340	410	0	1701	fpCG
44545	GQ895016	278	259	206	240	0	983	fpCG
44546	GQ895016	278	259	206	240	0	983	fpCG
44547	EF584348	442	335	271	362	0	1410	fpCG
44548	AF008746	326	218	217	226	0	987	fpCG
44549	EF473545	370	245	234	251	0	1100	fpCG
44550	EU502242	344	200	215	228	0	987	fpCG
44551	EU502243	340	206	216	225	0	987	fpCG
44552	FJ573478	210	163	101	164	0	638	fpCG
44553	FJ573479	210	164	101	163	0	638	fpCG
44554	FJ573480	201	160	98	158	0	617	fpCG
44555	AY029292	350	220	223	236	0	1029	fpCG
44556	AF534037	332	212	217	223	0	984	fpCG
44557	EU779498	576	375	342	408	0	1701	fpCG
44558	EU779499	439	334	272	364	0	1410	fpCG
44559	GQ369931	277	260	205	240	0	982	fpCG
44560	GQ369931	277	260	205	240	0	982	fpCG
44561	EU199341	572	390	318	416	0	1698	fpCG
44562	EU885542	576	376	336	411	0	1701	fpCG
44563	EU885543	438	335	271	366	0	1410	fpCG
44564	GQ369861	277	259	206	239	0	982	fpCG
44565	GQ369861	277	259	206	239	0	982	fpCG
44566	EU779520	577	374	342	408	0	1701	fpCG
44567	EU779521	439	335	271	364	0	1410	fpCG
44568	GQ369862	277	260	204	241	0	982	fpCG
44569	GQ369862	277	260	204	241	0	982	fpCG
44570	EU779621	580	386	311	420	0	1698	fpCG
44571	EU779646	461	329	254	369	0	1413	fpCG
44572	EU851983	578	388	311	419	0	1698	fpCG
44573	EU851984	461	329	254	369	0	1413	fpCG
44574	GQ475659	288	250	206	238	0	982	fpCG
44575	GQ475659	288	250	206	238	0	982	fpCG
44576	GQ475812	288	250	206	238	0	982	fpCG
44577	GQ475812	288	250	206	238	0	982	fpCG
44578	AF008893	319	226	216	226	0	987	fpCG
44579	L19003	318	226	214	229	0	987	fpCG
44580	U42632	435	340	270	365	0	1410	fpCG
44581	CY016341	347	223	223	236	0	1029	fpCG
44582	EF473445	370	239	230	252	0	1091	fpCG
44583	EF512564	441	332	270	367	0	1410	fpCG
